,date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
123,2020-02-15,DE-TH,77.671045,2450401.634098,2346572.394386,5.449594000000047,2e-06,3.758801,5.039242
162,2020-02-16,DE-BB,59.691964,71680.948591,2398150.336179,11.39806900000002,0.002381,2.15064,6.984798
163,2020-02-16,DE-BE,59.409557,81840.16297,2402813.153846,11.664426000000049,0.002324,4.622378,7.008421
164,2020-02-16,DE-BW,52.042532,1134468.78702,2303501.267969,10.60978700000004,0.000175,5.963716,4.552435
165,2020-02-16,DE-BY,60.833139,1417309.670928,2288621.444865,7.732126000000051,0.000104,5.01951,3.601319
166,2020-02-16,DE-HB,72.720405,11685.099043,2394093.887821,12.618426,0.008074,2.128205,10.50235
167,2020-02-16,DE-HE,59.910493,610571.730954,2337651.946647,11.781812000000002,0.003952,4.172657,8.448643
168,2020-02-16,DE-HH,70.930334,15573.014393,2390072.143939,12.375945999999999,0.006315,0.166667,9.008302
169,2020-02-16,DE-MV,69.818665,45624.242306,2392858.416184,11.144048999999995,0.004641,0.211216,7.888859
170,2020-02-16,DE-NI,70.159924,155358.763022,2382696.285088,12.237283000000048,0.008063,1.714376,9.269395
171,2020-02-16,DE-NW,68.720295,590976.641141,2361539.309274,12.45261800000003,0.009373,3.690106,9.658563
172,2020-02-16,DE-RP,62.079962,2202728.436335,2335395.07735,12.080355999999995,0.004616,5.547005,8.292642
173,2020-02-16,DE-SH,80.603193,22382.621279,2386873.664991,10.697620000000029,0.012885,0.064343,9.331656
174,2020-02-16,DE-SL,64.712737,3236937.27038,2341198.287364,11.684954000000005,0.003256,6.076087,8.459715
175,2020-02-16,DE-SN,52.870438,396505.750027,2345174.181982,10.442736000000025,0.000355,4.206282,8.098987
176,2020-02-16,DE-ST,57.338917,388159.918963,2381671.737128,12.636517000000026,0.002473,1.867966,7.735612
177,2020-02-16,DE-TH,55.557,1027426.052301,2322608.391294,11.244362000000024,0.001163,3.988107,8.970429
216,2020-02-17,DE-BB,64.189273,900750.37285,2409194.305925,9.16259500000001,0.001005,2.631685,6.319781
217,2020-02-17,DE-BE,62.309207,927161.193182,2414022.65035,9.513694000000044,0.001129,4.93007,6.874068
218,2020-02-17,DE-BW,79.180284,202251.602841,2309722.188237,8.28379700000005,0.011789,4.179108,4.875928
219,2020-02-17,DE-BY,76.924236,1188775.891263,2291492.459386,7.6632490000000075,0.005979,3.842018,3.896042
220,2020-02-17,DE-HB,72.555343,4220008.070513,2415939.740385,7.796262000000013,0.001953,4.641026,9.054754
221,2020-02-17,DE-HE,80.155843,302528.618408,2349892.518989,6.6915180000000305,0.005215,3.500185,5.661392
222,2020-02-17,DE-HH,69.350916,4127214.0625,2410040.958333,7.787027000000023,0.002153,3.863636,7.758239
223,2020-02-17,DE-MV,66.232009,2787734.006458,2408404.8089,8.142117000000042,0.001263,4.251448,7.232293
224,2020-02-17,DE-NI,71.638321,2827433.817914,2402500.169956,7.572361000000001,0.002444,4.252012,7.580417
225,2020-02-17,DE-NW,74.502243,2072171.222293,2380415.510029,7.189967000000024,0.003058,4.760424,6.784288
226,2020-02-17,DE-RP,82.825281,507557.931782,2348892.063963,6.664609000000041,0.005977,4.246331,5.81448
227,2020-02-17,DE-SH,73.876024,4380567.921023,2407204.167113,7.50040800000005,0.002424,3.885165,9.280466
228,2020-02-17,DE-SL,88.192335,309264.677968,2353728.08288,6.4889610000000175,0.011262,4.029891,6.242844
229,2020-02-17,DE-SN,67.419686,382160.233758,2351232.560166,8.745916000000022,0.000722,4.2882,5.993089
230,2020-02-17,DE-ST,67.164436,621975.257942,2395040.782549,8.457626000000005,0.001602,2.259654,6.182969
231,2020-02-17,DE-TH,76.157578,299205.883875,2332579.415319,6.994522000000018,0.003394,3.662226,6.398616
270,2020-02-18,DE-BB,71.90463,4042940.094841,2421420.796824,6.5294680000000085,0.002388,4.037911,6.150824
271,2020-02-18,DE-BE,70.383828,3818026.828671,2426222.898601,6.860551000000044,0.002352,4.993007,6.597873
272,2020-02-18,DE-BW,70.668535,3952516.746765,2325179.894962,4.8616460000000075,0.001181,5.440259,5.454259
273,2020-02-18,DE-BY,71.030948,4684769.982323,2305616.761995,4.712938000000008,0.001385,5.303236,5.433165
274,2020-02-18,DE-HB,76.109081,3977141.698718,2430586.038462,6.871098000000018,0.005206,3.538462,8.388569
275,2020-02-18,DE-HE,75.010833,4196452.609114,2364296.093924,5.323959000000002,0.001939,4.048166,6.549548
276,2020-02-18,DE-HH,76.28406,3315887.227273,2424064.835227,6.366859000000034,0.003621,3.772727,7.061869
277,2020-02-18,DE-MV,76.107405,4205696.517144,2421167.019125,6.131951000000015,0.002487,1.866199,6.622201
278,2020-02-18,DE-NI,76.476773,4204908.077851,2416821.533991,6.22893700000003,0.004055,3.843301,7.290762
279,2020-02-18,DE-NW,76.20635,3968802.161877,2395391.805499,5.9627590000000055,0.003498,3.62114,7.048729
280,2020-02-18,DE-RP,77.36768,3143448.096142,2364367.787882,5.228825000000029,0.001644,3.977787,6.222789
281,2020-02-18,DE-SH,81.561845,3056033.220509,2421803.319482,5.959066000000007,0.00445,2.861483,7.978392
282,2020-02-18,DE-SL,78.974003,2289971.460598,2369592.502038,5.240715000000023,0.001888,4.078804,6.922724
283,2020-02-18,DE-SN,69.308954,4860546.469121,2363482.77239,5.598377000000028,0.000811,4.922326,6.845711
