date,iso3166-2,region_code,confirmed_addition,deceased_addition,population,cases_pc,deaths_pc,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
2020-03-01,DE-HH,Hamburg,1,0,1841179,5.431302442619648e-07,0.0,72.096843,3368325.026515,2371569.412879,5.7770530000000235,0.001033,4.075758,5.969066
2020-03-01,DE-HE,Hessen,4,0,6265809,6.383852428313726e-07,0.0,73.830486,3032277.479437,2304272.542794,6.269586000000004,0.00708,6.068544,6.071753
2020-03-01,DE-NI,Niedersachsen,1,0,7982448,1.2527485302754243e-07,0.0,68.699819,4281495.817982,2361127.456689,6.250206000000048,0.002344,5.264321,6.06579
2020-03-01,DE-NW,Nordrhein-Westfalen,23,0,17932651,1.2825766809380275e-06,0.0,71.656682,4970382.341447,2335097.782792,6.102634000000023,0.006824,5.820374,5.840666
2020-03-02,DE-BW,Baden-Württemberg,9,0,11069533,8.13042429161194e-07,0.0,78.157673,2947502.866413,2249041.944245,4.707687000000021,0.005166,7.478854,3.784566
2020-03-02,DE-BY,Bayern,6,0,13076721,4.588306196943408e-07,0.0,70.719097,6479179.011153,2234779.303451,5.404019000000005,0.001928,8.587794,3.90226
2020-03-02,DE-HB,Bremen,1,0,682986,1.4641588553791733e-06,0.0,76.564903,1711568.809295,2375866.762821,6.534983000000011,0.002428,5.474359,3.548024
2020-03-02,DE-HE,Hessen,4,0,6265809,6.383852428313726e-07,0.0,79.476429,5077009.248333,2296550.945258,5.297087000000033,0.003589,6.063357,3.737001
2020-03-02,DE-NI,Niedersachsen,2,0,7982448,2.5054970605508485e-07,0.0,78.72458,2503429.630688,2360141.004386,6.098092000000008,0.003914,5.227237,3.184054
2020-03-02,DE-NW,Nordrhein-Westfalen,15,0,17932651,8.364630527856701e-07,0.0,82.113847,1196043.232107,2330255.556119,5.743282000000022,0.006275,5.863872,3.686991
2020-03-02,DE-SN,Sachsen,1,0,4077937,2.4522203261109725e-07,0.0,70.335578,4206245.916039,2302150.050615,5.608797000000038,0.000935,7.362054,4.481409
2020-03-02,DE-SH,Schleswig-Holstein,2,0,2896712,6.904379862409518e-07,0.0,80.324594,3611098.855004,2375466.642426,5.598760000000027,0.001501,4.365952,3.02761
2020-03-03,DE-BW,Baden-Württemberg,24,0,11069533,2.168113144429851e-06,0.0,77.767817,6192790.86954,2275380.168361,2.977440999999999,0.004202,6.50728,4.238791
2020-03-03,DE-BY,Bayern,6,0,13076721,4.588306196943408e-07,0.0,81.562421,2628972.648464,2255173.183923,2.891738000000032,0.005251,5.551273,4.126063
2020-03-03,DE-BE,Berlin,6,0,3644826,1.6461691175381212e-06,0.0,86.788519,98010.405212,2384159.534965,4.695541000000048,0.002902,3.888112,3.651981
2020-03-03,DE-HB,Bremen,2,0,682986,2.9283177107583465e-06,0.0,81.365812,5764095.352564,2397649.605769,5.812023000000011,0.003822,6.24359,4.126763
2020-03-03,DE-HH,Hamburg,3,0,1841179,1.6293907327858942e-06,0.0,81.420581,2331861.874053,2391717.653409,5.288675000000012,0.005945,4.977273,3.107576
2020-03-03,DE-HE,Hessen,4,0,6265809,6.383852428313726e-07,0.0,79.327672,5841126.076973,2319897.773805,3.598557000000028,0.003564,6.369026,3.729914
2020-03-03,DE-MV,Mecklenburg-Vorpommern,2,0,1609675,1.2424868374050662e-06,0.0,89.26347,348806.109046,2388349.644316,4.172334000000035,0.001615,2.81591,2.605103
2020-03-03,DE-NI,Niedersachsen,6,0,7982448,7.516491181652546e-07,0.0,81.437349,4829445.133498,2381525.864035,4.9754970000000185,0.003657,5.697175,3.50461
2020-03-03,DE-NW,Nordrhein-Westfalen,29,0,17932651,1.6171619020522956e-06,0.0,79.96803,7112593.533018,2356004.95515,4.268014000000051,0.002085,6.989182,3.885945
2020-03-03,DE-RP,Rheinland-Pfalz,1,0,4084844,2.4480739044134857e-07,0.0,82.211128,6503755.667196,2319196.544923,3.0724030000000084,0.001985,6.457755,3.968893
2020-03-03,DE-SH,Schleswig-Holstein,1,0,2896712,3.452189931204759e-07,0.0,84.906759,2369597.11591,2393680.032507,5.050315000000012,0.005429,4.071939,2.97201
2020-03-03,DE-TH,Thüringen,1,0,2143145,4.666039861978541e-07,0.0,80.302743,2216473.33923,2300267.847645,3.4869170000000054,0.004256,4.946717,3.808662
2020-03-04,DE-BW,Baden-Württemberg,38,1,11069533,3.4328458120139304e-06,9.033804768457712e-08,76.768376,5856216.621216,2293294.669921,2.8085609999999974,0.000512,7.022648,2.871907
2020-03-04,DE-BY,Bayern,10,0,13076721,7.64717699490568e-07,0.0,82.056205,5288835.829651,2276499.732534,1.5449859999999944,0.001056,6.405306,2.60022
2020-03-04,DE-BE,Berlin,3,0,3644826,8.230845587690606e-07,0.0,78.041959,6561092.538462,2408197.592657,4.307875000000024,0.001684,7.083916,3.355536
