date,region_code,confirmed_addition,deceased_addition,iso3166-2,population,cases_pc,deaths_pc
2020-03-03,Hessen,4,0,DE-HE,6265809,6.383852428313726e-07,0.0
2020-03-03,Mecklenburg-Vorpommern,2,0,DE-MV,1609675,1.2424868374050662e-06,0.0
2020-03-03,Niedersachsen,6,0,DE-NI,7982448,7.516491181652546e-07,0.0
2020-03-03,Nordrhein-Westfalen,29,0,DE-NW,17932651,1.6171619020522956e-06,0.0
2020-03-03,Rheinland-Pfalz,1,0,DE-RP,4084844,2.4480739044134857e-07,0.0
2020-03-03,Schleswig-Holstein,1,0,DE-SH,2896712,3.452189931204759e-07,0.0
2020-03-03,Thüringen,1,0,DE-TH,2143145,4.666039861978541e-07,0.0
2020-03-04,Baden-Württemberg,38,1,DE-BW,11069533,3.4328458120139304e-06,9.033804768457713e-08
2020-03-04,Bayern,10,0,DE-BY,13076721,7.64717699490568e-07,0.0
2020-03-04,Berlin,3,0,DE-BE,3644826,8.230845587690606e-07,0.0
2020-03-04,Hamburg,1,0,DE-HH,1841179,5.431302442619648e-07,0.0
2020-03-04,Hessen,2,0,DE-HE,6265809,3.191926214156863e-07,0.0
2020-03-04,Mecklenburg-Vorpommern,2,0,DE-MV,1609675,1.2424868374050662e-06,0.0
2020-03-04,Niedersachsen,4,0,DE-NI,7982448,5.010994121101697e-07,0.0
2020-03-04,Nordrhein-Westfalen,91,1,DE-NW,17932651,5.074542520233066e-06,5.576420351904468e-08
2020-03-04,Rheinland-Pfalz,4,0,DE-RP,4084844,9.792295617653945e-07,0.0
2020-03-05,Baden-Württemberg,36,0,DE-BW,11069533,3.252169716644776e-06,0.0
2020-03-05,Bayern,19,1,DE-BY,13076721,1.4529636290320792e-06,7.64717699490568e-08
2020-03-05,Berlin,10,0,DE-BE,3644826,2.7436151958968686e-06,0.0
2020-03-05,Brandenburg,2,0,DE-BB,2511917,7.962046516664364e-07,0.0
2020-03-05,Hamburg,5,0,DE-HH,1841179,2.715651221309824e-06,0.0
2020-03-05,Hessen,6,0,DE-HE,6265809,9.575778642470589e-07,0.0
2020-03-05,Mecklenburg-Vorpommern,1,0,DE-MV,1609675,6.212434187025331e-07,0.0
2020-03-05,Niedersachsen,6,0,DE-NI,7982448,7.516491181652546e-07,0.0
2020-03-05,Nordrhein-Westfalen,97,0,DE-NW,17932651,5.409127741347334e-06,0.0
2020-03-05,Rheinland-Pfalz,1,0,DE-RP,4084844,2.4480739044134857e-07,0.0
2020-03-05,Schleswig-Holstein,1,0,DE-SH,2896712,3.452189931204759e-07,0.0
2020-03-06,Baden-Württemberg,51,2,DE-BW,11069533,4.607240431913433e-06,1.8067609536915427e-07
2020-03-06,Bayern,51,0,DE-BY,13076721,3.900060267401897e-06,0.0
2020-03-06,Berlin,5,0,DE-BE,3644826,1.3718075979484343e-06,0.0
2020-03-06,Hamburg,3,1,DE-HH,1841179,1.6293907327858942e-06,5.431302442619648e-07
2020-03-06,Hessen,1,0,DE-HE,6265809,1.5959631070784318e-07,0.0
2020-03-06,Niedersachsen,7,0,DE-NI,7982448,8.76923971192797e-07,0.0
2020-03-06,Nordrhein-Westfalen,62,1,DE-NW,17932651,3.45738061818077e-06,5.576420351904468e-08
2020-03-06,Rheinland-Pfalz,2,0,DE-RP,4084844,4.896147808826971e-07,0.0
2020-03-06,Sachsen,2,0,DE-SN,4077937,4.904440652221945e-07,0.0
2020-03-06,Schleswig-Holstein,2,0,DE-SH,2896712,6.904379862409518e-07,0.0
2020-03-07,Baden-Württemberg,32,1,DE-BW,11069533,2.890817525906468e-06,9.033804768457713e-08
2020-03-07,Bayern,20,0,DE-BY,13076721,1.529435398981136e-06,0.0
2020-03-07,Berlin,1,0,DE-BE,3644826,2.7436151958968685e-07,0.0
2020-03-07,Hamburg,4,0,DE-HH,1841179,2.172520977047859e-06,0.0
2020-03-07,Hessen,4,0,DE-HE,6265809,6.383852428313726e-07,0.0
2020-03-07,Niedersachsen,8,0,DE-NI,7982448,1.0021988242203394e-06,0.0
